brand,model,year,transmission,mileage,fuelType,engineSize,price
8,55,2019,0,10124,2,1.8,21490
8,55,2019,0,9107,2,2.0,21490
8,55,2019,0,2535,2,2.0,23698
8,55,2020,0,2797,2,1.8,22990
8,55,2020,0,1879,2,2.0,26490
8,55,2020,0,1697,2,1.8,25490
8,55,2019,0,13410,2,2.0,22990
8,55,2019,1,4332,4,1.2,19990
8,55,2019,1,8503,4,1.2,20990
8,55,2019,1,3695,4,1.2,17890
8,55,2019,1,2579,4,1.2,18995
8,55,2019,1,6057,4,1.2,17990
8,55,2019,1,2907,4,1.2,18690
8,55,2019,1,7134,4,1.2,16990
8,55,2019,1,25,4,1.2,16990
8,55,2019,0,4451,2,2.0,22727
8,55,2019,0,5668,2,2.0,20995
8,55,2019,0,5250,2,1.8,20995
8,55,2019,0,4633,2,1.8,22290
8,55,2019,1,9625,4,1.2,16490
8,55,2019,0,5804,2,1.8,19790
8,55,2019,1,10000,4,1.2,15790
8,55,2019,1,9999,4,1.2,17480
8,55,2020,0,5000,2,1.8,24980
8,55,2019,1,3860,4,1.2,18990
8,55,2019,0,9004,2,1.8,21495
8,55,2019,1,4500,4,1.2,17960
8,55,2019,1,4500,4,1.2,17960
8,55,2019,0,5784,2,2.0,23995
8,55,2019,1,6551,4,1.2,17995
8,55,2019,0,6770,2,2.0,24795
8,55,2019,1,500,4,1.2,18995
8,55,2019,1,500,4,1.2,19995
8,55,2019,0,10500,2,2.0,22595
8,55,2019,0,1215,2,1.8,25595
8,55,2019,0,5558,2,1.8,23445
8,55,2019,0,6125,2,1.8,23395
8,55,2019,0,2620,2,1.8,23445
8,55,2019,0,2474,2,2.0,24998
8,55,2019,0,6513,2,1.8,23498
8,55,2019,0,6989,2,2.0,23995
8,55,2019,0,11000,2,2.0,22995
8,55,2019,0,3754,2,1.8,22995
8,55,2020,0,987,2,2.0,28815
8,55,2019,0,11293,2,1.8,19995
8,55,2019,0,5674,2,1.8,19995
8,55,2019,0,9250,2,2.0,23995
8,55,2019,1,5600,4,1.2,23495
8,55,2020,0,2500,2,2.0,27995
8,55,2019,0,11449,2,1.8,21000
8,55,2020,0,10,2,1.8,28000
8,55,2019,1,3510,4,1.2,17999
8,55,2019,0,4412,2,1.8,20497
8,55,2019,0,10016,2,1.8,23500
8,55,2019,0,11051,2,1.8,21665
8,55,2019,1,5102,4,1.2,21280
8,55,2019,0,2535,2,2.0,24960
8,55,2019,1,8970,4,1.2,19540
8,55,2019,0,5922,2,1.8,20110
8,55,2019,0,15631,2,2.0,23060
8,55,2020,0,3636,2,2.0,26991
8,55,2019,0,5910,2,1.8,22900
8,55,2019,0,8812,2,1.8,24025
8,55,2019,0,1000,2,2.0,26495
8,55,2019,0,1000,2,2.0,27795
8,55,2019,0,4113,2,1.8,22999
8,55,2019,0,8171,2,1.8,21999
8,55,2019,1,3422,4,1.2,19990
8,55,2019,1,6522,4,1.2,19900
8,55,2019,0,11478,2,1.8,22000
8,55,2019,1,10011,4,1.2,19290
8,55,2019,1,7777,4,1.2,19995
8,55,2019,0,14417,2,2.0,23888
8,55,2019,0,2034,2,1.8,22495
8,55,2020,0,2141,2,1.8,28495
8,55,2019,0,3998,2,2.0,25195
8,55,2019,0,10420,2,1.8,21495
8,55,2019,0,10120,2,1.8,21790
8,55,2020,0,3989,2,1.8,24995
